Group	Sub-group	Name	Sex	Cell type	Tissue	Cell line	Disease	Donor	Experiment	File type	Format	Analyis production	Size	MD5	URL
Cord blood	CD14-positive, CD16-negative classical monocyte	C00264	Male	CD14-positive, CD16-negative classical monocyte	Cord blood		None	C00264	H3K27ac	Enriched regions	bigBed	EMBL-EBI	700K	2bc81a94fbae26c4fda980c67b70a494	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C00264/CD14-positive_CD16-negative_classical_monocyte/ChIP-Seq/NCMLS/C00264H1.H3K27ac.ppqt_macs2_v2.20130415.bb
Cord blood	CD14-positive, CD16-negative classical monocyte	C00264	Male	CD14-positive, CD16-negative classical monocyte	Cord blood		None	C00264	H3K27ac	Enriched regions	BED	EMBL-EBI	665K	a7dd935149ef37982389c33abde33dd8	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C00264/CD14-positive_CD16-negative_classical_monocyte/ChIP-Seq/NCMLS/C00264H1.H3K27ac.ppqt_macs2_v2.20130415.bed.gz
Cord blood	CD14-positive, CD16-negative classical monocyte	C00264	Male	CD14-positive, CD16-negative classical monocyte	Cord blood		None	C00264	H3K27ac	Enriched regions	Text	EMBL-EBI	766K	6ff4fc272ee8b77aa8594b7f52e434b6	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C00264/CD14-positive_CD16-negative_classical_monocyte/ChIP-Seq/NCMLS/C00264H1.H3K27ac.ppqt_macs2_v2.20130415.xls.gz
Cord blood	CD14-positive, CD16-negative classical monocyte	C00264	Male	CD14-positive, CD16-negative classical monocyte	Cord blood		None	C00264	H3K27ac	Normalized signal	bigWig	EMBL-EBI	1.1G	52252446bc5feea916b5bbdac74c475c	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C00264/CD14-positive_CD16-negative_classical_monocyte/ChIP-Seq/NCMLS/C00264H1.H3K27ac.wiggler.20130415.bw
Cord blood	CD14-positive, CD16-negative classical monocyte	C00264	Male	CD14-positive, CD16-negative classical monocyte	Cord blood		None	C00264	H3K27me3	Enriched regions	bigBed	EMBL-EBI	1.1M	ffc3f1c93510fe3a2adf6edc99f6fd47	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C00264/CD14-positive_CD16-negative_classical_monocyte/ChIP-Seq/NCMLS/C00264H1.H3K27me3.ppqt_macs2_broad_v2.20130415.bb
Cord blood	CD14-positive, CD16-negative classical monocyte	C00264	Male	CD14-positive, CD16-negative classical monocyte	Cord blood		None	C00264	H3K27me3	Enriched regions	BED	EMBL-EBI	1.4M	af59441be14bfc736541a6294ecca378	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C00264/CD14-positive_CD16-negative_classical_monocyte/ChIP-Seq/NCMLS/C00264H1.H3K27me3.ppqt_macs2_broad_v2.20130415.bed.gz
Cord blood	CD14-positive, CD16-negative classical monocyte	C00264	Male	CD14-positive, CD16-negative classical monocyte	Cord blood		None	C00264	H3K27me3	Enriched regions	Text	EMBL-EBI	1.6M	50173d6e425ebb2143258fd9b66311b9	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C00264/CD14-positive_CD16-negative_classical_monocyte/ChIP-Seq/NCMLS/C00264H1.H3K27me3.ppqt_macs2_broad_v2.20130415.xls.gz
Cord blood	CD14-positive, CD16-negative classical monocyte	C00264	Male	CD14-positive, CD16-negative classical monocyte	Cord blood		None	C00264	H3K27me3	Normalized signal	bigWig	EMBL-EBI	1.2G	03b1fd91f03eb25a229952d18f6c15d5	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C00264/CD14-positive_CD16-negative_classical_monocyte/ChIP-Seq/NCMLS/C00264H1.H3K27me3.wiggler.20130415.bw
Cord blood	CD14-positive, CD16-negative classical monocyte	C00264	Male	CD14-positive, CD16-negative classical monocyte	Cord blood		None	C00264	H3K36me3	Enriched regions	bigBed	EMBL-EBI	948K	a6465ff2604dc480f337afa739b49ed8	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C00264/CD14-positive_CD16-negative_classical_monocyte/ChIP-Seq/NCMLS/C00264H1.H3K36me3.ppqt_macs2_broad_v2.20130415.bb
Cord blood	CD14-positive, CD16-negative classical monocyte	C00264	Male	CD14-positive, CD16-negative classical monocyte	Cord blood		None	C00264	H3K36me3	Enriched regions	BED	EMBL-EBI	1.3M	535d4077482979ab886b396d3b0d0db4	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C00264/CD14-positive_CD16-negative_classical_monocyte/ChIP-Seq/NCMLS/C00264H1.H3K36me3.ppqt_macs2_broad_v2.20130415.bed.gz
Cord blood	CD14-positive, CD16-negative classical monocyte	C00264	Male	CD14-positive, CD16-negative classical monocyte	Cord blood		None	C00264	H3K36me3	Enriched regions	Text	EMBL-EBI	1.5M	0e62d2d249b48ddf16cde0261495e580	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C00264/CD14-positive_CD16-negative_classical_monocyte/ChIP-Seq/NCMLS/C00264H1.H3K36me3.ppqt_macs2_broad_v2.20130415.xls.gz
Cord blood	CD14-positive, CD16-negative classical monocyte	C00264	Male	CD14-positive, CD16-negative classical monocyte	Cord blood		None	C00264	H3K36me3	Normalized signal	bigWig	EMBL-EBI	1006M	034b03f1387e5afd2c4a8d288881e372	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C00264/CD14-positive_CD16-negative_classical_monocyte/ChIP-Seq/NCMLS/C00264H1.H3K36me3.wiggler.20130415.bw
Cord blood	CD14-positive, CD16-negative classical monocyte	C00264	Male	CD14-positive, CD16-negative classical monocyte	Cord blood		None	C00264	H3K4me1	Enriched regions	bigBed	EMBL-EBI	1.2M	fcb74878c219fb64c9b3b5097bc80457	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C00264/CD14-positive_CD16-negative_classical_monocyte/ChIP-Seq/NCMLS/C00264H1.H3K4me1.ppqt_macs2_broad_v2.20130415.bb
Cord blood	CD14-positive, CD16-negative classical monocyte	C00264	Male	CD14-positive, CD16-negative classical monocyte	Cord blood		None	C00264	H3K4me1	Enriched regions	BED	EMBL-EBI	1.9M	46400a29f3d741ca71af04cc9bb93869	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C00264/CD14-positive_CD16-negative_classical_monocyte/ChIP-Seq/NCMLS/C00264H1.H3K4me1.ppqt_macs2_broad_v2.20130415.bed.gz
Cord blood	CD14-positive, CD16-negative classical monocyte	C00264	Male	CD14-positive, CD16-negative classical monocyte	Cord blood		None	C00264	H3K4me1	Enriched regions	Text	EMBL-EBI	2.2M	15efd6c10f7e681f8b4ce96c6cad1065	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C00264/CD14-positive_CD16-negative_classical_monocyte/ChIP-Seq/NCMLS/C00264H1.H3K4me1.ppqt_macs2_broad_v2.20130415.xls.gz
Cord blood	CD14-positive, CD16-negative classical monocyte	C00264	Male	CD14-positive, CD16-negative classical monocyte	Cord blood		None	C00264	H3K4me1	Normalized signal	bigWig	EMBL-EBI	745M	a46703d9b5c3f8e8b4a41be87b0f193e	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C00264/CD14-positive_CD16-negative_classical_monocyte/ChIP-Seq/NCMLS/C00264H1.H3K4me1.wiggler.20130415.bw
Cord blood	CD14-positive, CD16-negative classical monocyte	C00264	Male	CD14-positive, CD16-negative classical monocyte	Cord blood		None	C00264	H3K4me3	Enriched regions	bigBed	EMBL-EBI	533K	7aa93b18bd416cf21536bb7a71d2a99a	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C00264/CD14-positive_CD16-negative_classical_monocyte/ChIP-Seq/NCMLS/C00264H1.H3K4me3.ppqt_macs2_v2.20130415.bb
Cord blood	CD14-positive, CD16-negative classical monocyte	C00264	Male	CD14-positive, CD16-negative classical monocyte	Cord blood		None	C00264	H3K4me3	Enriched regions	BED	EMBL-EBI	751K	c22309e0017c9122f3f4b65bbb740647	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C00264/CD14-positive_CD16-negative_classical_monocyte/ChIP-Seq/NCMLS/C00264H1.H3K4me3.ppqt_macs2_v2.20130415.bed.gz
Cord blood	CD14-positive, CD16-negative classical monocyte	C00264	Male	CD14-positive, CD16-negative classical monocyte	Cord blood		None	C00264	H3K4me3	Enriched regions	Text	EMBL-EBI	859K	dae782541e1959a36317137372c06c53	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C00264/CD14-positive_CD16-negative_classical_monocyte/ChIP-Seq/NCMLS/C00264H1.H3K4me3.ppqt_macs2_v2.20130415.xls.gz
Cord blood	CD14-positive, CD16-negative classical monocyte	C00264	Male	CD14-positive, CD16-negative classical monocyte	Cord blood		None	C00264	H3K4me3	Normalized signal	bigWig	EMBL-EBI	735M	7307075d7b8a1d560f0f8a431891b951	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C00264/CD14-positive_CD16-negative_classical_monocyte/ChIP-Seq/NCMLS/C00264H1.H3K4me3.wiggler.20130415.bw
Cord blood	CD14-positive, CD16-negative classical monocyte	C00264	Male	CD14-positive, CD16-negative classical monocyte	Cord blood		None	C00264	H3K9me3	Enriched regions	bigBed	EMBL-EBI	1.4M	b64522ce056b7613c1f8f26598bf3c2a	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C00264/CD14-positive_CD16-negative_classical_monocyte/ChIP-Seq/NCMLS/C00264H1.H3K9me3.ppqt_macs2_broad_v2.20141014.bb
Cord blood	CD14-positive, CD16-negative classical monocyte	C00264	Male	CD14-positive, CD16-negative classical monocyte	Cord blood		None	C00264	H3K9me3	Enriched regions	BED	EMBL-EBI	2.0M	16fa1547ac057b916c3bd8542f985ce2	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C00264/CD14-positive_CD16-negative_classical_monocyte/ChIP-Seq/NCMLS/C00264H1.H3K9me3.ppqt_macs2_broad_v2.20141014.bed.gz
Cord blood	CD14-positive, CD16-negative classical monocyte	C00264	Male	CD14-positive, CD16-negative classical monocyte	Cord blood		None	C00264	H3K9me3	Enriched regions	Text	EMBL-EBI	2.3M	b8c39d32c9de0479c5322fe4bf9a0cf7	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C00264/CD14-positive_CD16-negative_classical_monocyte/ChIP-Seq/NCMLS/C00264H1.H3K9me3.ppqt_macs2_broad_v2.20141014.xls.gz
Cord blood	CD14-positive, CD16-negative classical monocyte	C00264	Male	CD14-positive, CD16-negative classical monocyte	Cord blood		None	C00264	H3K9me3	Normalized signal	bigWig	EMBL-EBI	663M	b0e7e11b5bbbc86f6ac0654c8401e70a	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C00264/CD14-positive_CD16-negative_classical_monocyte/ChIP-Seq/NCMLS/C00264H1.H3K9me3.wiggler.20141014.bw
Cord blood	CD14-positive, CD16-negative classical monocyte	C00264	Male	CD14-positive, CD16-negative classical monocyte	Cord blood		None	C00264	ChIP Input	Normalized signal	bigWig	EMBL-EBI	1.2G	d9918922a0a9f1c7c053f71c9706e780	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C00264/CD14-positive_CD16-negative_classical_monocyte/ChIP-Seq/NCMLS/C00264H1.Input.wiggler.20130415.bw
Cord blood	CD14-positive, CD16-negative classical monocyte	C00280	Female	CD14-positive, CD16-negative classical monocyte	Cord blood		None	C00280	H3K4me1	Enriched regions	bigBed	EMBL-EBI	1.3M	195fee3c9ebf33fefa70d348a8c8a414	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C00280/CD14-positive_CD16-negative_classical_monocyte/ChIP-Seq/NCMLS/C00280H2.H3K4me1.ppqt_macs2_broad_v2.20130415.bb
Cord blood	CD14-positive, CD16-negative classical monocyte	C00280	Female	CD14-positive, CD16-negative classical monocyte	Cord blood		None	C00280	H3K4me1	Enriched regions	BED	EMBL-EBI	1.9M	5ff086812bb722e8b387cab85ac05334	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C00280/CD14-positive_CD16-negative_classical_monocyte/ChIP-Seq/NCMLS/C00280H2.H3K4me1.ppqt_macs2_broad_v2.20130415.bed.gz
Cord blood	CD14-positive, CD16-negative classical monocyte	C00280	Female	CD14-positive, CD16-negative classical monocyte	Cord blood		None	C00280	H3K4me1	Enriched regions	Text	EMBL-EBI	2.1M	a6abbf3e0b5844fd34b4bed44fe99cc7	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C00280/CD14-positive_CD16-negative_classical_monocyte/ChIP-Seq/NCMLS/C00280H2.H3K4me1.ppqt_macs2_broad_v2.20130415.xls.gz
Cord blood	CD14-positive, CD16-negative classical monocyte	C00280	Female	CD14-positive, CD16-negative classical monocyte	Cord blood		None	C00280	H3K4me1	Normalized signal	bigWig	EMBL-EBI	1.2G	ba611611c55ba9f434f0a4ac4f6201be	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C00280/CD14-positive_CD16-negative_classical_monocyte/ChIP-Seq/NCMLS/C00280H2.H3K4me1.wiggler.20130415.bw
Cord blood	CD14-positive, CD16-negative classical monocyte	C00280	Female	CD14-positive, CD16-negative classical monocyte	Cord blood		None	C00280	ChIP Input	Normalized signal	bigWig	EMBL-EBI	1.1G	40f4da08c04e39a59a7bcd22f47cc041	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C00280/CD14-positive_CD16-negative_classical_monocyte/ChIP-Seq/NCMLS/C00280H2.Input.wiggler.20130415.bw
Cord blood	common lymphoid progenitor	C002UU	Male	common lymphoid progenitor	Cord blood		None	C002UU	RNA-Seq	Transcription quantification (Genes)	GFF	UCAM	1.7M	ee5b95da0072f31e4db424708005a645	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C002UU/common_lymphoid_progenitor/RNA-Seq/NCMLS_CU/C002UUB3.gene_quantification.cbr_mmseq.20140106.gff.gz
Cord blood	common lymphoid progenitor	C002UU	Male	common lymphoid progenitor	Cord blood		None	C002UU	RNA-Seq	Transcription quantification (Genes)/Reactome filtered	Text	UCAM/EMBL-EBI	125K	8f35c0dc44e305a6a6eed7dd13642913	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C002UU/common_lymphoid_progenitor/RNA-Seq/NCMLS_CU/C002UUB3.gene_quantification.cbr_mmseq.20140106.reactome.txt
Cord blood	common lymphoid progenitor	C002UU	Male	common lymphoid progenitor	Cord blood		None	C002UU	RNA-Seq	Transcription quantification (Genes)	TSV	UCAM	6.2M	dc5a10996171c39f602f16331389c963	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C002UU/common_lymphoid_progenitor/RNA-Seq/NCMLS_CU/C002UUB3.gene_quantification.cbr_mmseq.20140106.tsv
Cord blood	common lymphoid progenitor	C002UU	Male	common lymphoid progenitor	Cord blood		None	C002UU	RNA-Seq	Transcription signal	bigWig	CRG	402M	1f7c4ed924fec6946dacfc423ad3e06f	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C002UU/common_lymphoid_progenitor/RNA-Seq/NCMLS_CU/C002UUB3.RNA-Seq.gem_grape_crg.20140106.bw
Cord blood	common lymphoid progenitor	C002UU	Male	common lymphoid progenitor	Cord blood		None	C002UU	RNA-Seq	Transcription quantification (Transcripts)	GFF	UCAM	5.0M	e63fe8253f29755fa8cc51fdc8990928	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C002UU/common_lymphoid_progenitor/RNA-Seq/NCMLS_CU/C002UUB3.transcript_quantification.cbr_mmseq.20140106.gff.gz
Cord blood	common lymphoid progenitor	C002UU	Male	common lymphoid progenitor	Cord blood		None	C002UU	RNA-Seq	Transcription quantification (Transcripts)	TSV	UCAM	36M	2a0deee4beb88d163829f1e6bbf0fa55	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C002UU/common_lymphoid_progenitor/RNA-Seq/NCMLS_CU/C002UUB3.transcript_quantification.cbr_mmseq.20140106.tsv
Cord blood	granulocyte monocyte progenitor cell	C002UU	Male	granulocyte monocyte progenitor cell	Cord blood		None	C002UU	RNA-Seq	Transcription quantification (Genes)	GFF	UCAM	1.8M	941ab988078763967d92cf1b98822c9b	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C002UU/granulocyte_monocyte_progenitor_cell/RNA-Seq/NCMLS_CU/C002UUB4.gene_quantification.cbr_mmseq.20140106.gff.gz
Cord blood	granulocyte monocyte progenitor cell	C002UU	Male	granulocyte monocyte progenitor cell	Cord blood		None	C002UU	RNA-Seq	Transcription quantification (Genes)/Reactome filtered	Text	UCAM/EMBL-EBI	132K	339c3b8b862d2b08eff09c9d903a868c	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C002UU/granulocyte_monocyte_progenitor_cell/RNA-Seq/NCMLS_CU/C002UUB4.gene_quantification.cbr_mmseq.20140106.reactome.txt
Cord blood	granulocyte monocyte progenitor cell	C002UU	Male	granulocyte monocyte progenitor cell	Cord blood		None	C002UU	RNA-Seq	Transcription quantification (Genes)	TSV	UCAM	6.2M	69aaad51786d3be27903e7f31866f4d6	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C002UU/granulocyte_monocyte_progenitor_cell/RNA-Seq/NCMLS_CU/C002UUB4.gene_quantification.cbr_mmseq.20140106.tsv
Cord blood	granulocyte monocyte progenitor cell	C002UU	Male	granulocyte monocyte progenitor cell	Cord blood		None	C002UU	RNA-Seq	Transcription signal	bigWig	CRG	363M	b18606e6eca8c3daceaafc1d99027d26	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C002UU/granulocyte_monocyte_progenitor_cell/RNA-Seq/NCMLS_CU/C002UUB4.RNA-Seq.gem_grape_crg.20140106.bw
Cord blood	granulocyte monocyte progenitor cell	C002UU	Male	granulocyte monocyte progenitor cell	Cord blood		None	C002UU	RNA-Seq	Transcription quantification (Transcripts)	GFF	UCAM	5.1M	6d967edbdb7e488017acf119b2ad53a4	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C002UU/granulocyte_monocyte_progenitor_cell/RNA-Seq/NCMLS_CU/C002UUB4.transcript_quantification.cbr_mmseq.20140106.gff.gz
Cord blood	granulocyte monocyte progenitor cell	C002UU	Male	granulocyte monocyte progenitor cell	Cord blood		None	C002UU	RNA-Seq	Transcription quantification (Transcripts)	TSV	UCAM	36M	176a32614a357233b145bc486df7f6ee	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C002UU/granulocyte_monocyte_progenitor_cell/RNA-Seq/NCMLS_CU/C002UUB4.transcript_quantification.cbr_mmseq.20140106.tsv
Cord blood	hematopoietic multipotent progenitor cell	C002UU	Male	hematopoietic multipotent progenitor cell	Cord blood		None	C002UU	RNA-Seq	Transcription quantification (Genes)	GFF	UCAM	1.8M	e2b470419312368733303bf86f2ba500	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C002UU/hematopoietic_multipotent_progenitor_cell/RNA-Seq/NCMLS_CU/C002UUB2.gene_quantification.cbr_mmseq.20140106.gff.gz
Cord blood	hematopoietic multipotent progenitor cell	C002UU	Male	hematopoietic multipotent progenitor cell	Cord blood		None	C002UU	RNA-Seq	Transcription quantification (Genes)/Reactome filtered	Text	UCAM/EMBL-EBI	131K	fd823ce17b9f5a6c5a1ef5e916e0eb7b	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C002UU/hematopoietic_multipotent_progenitor_cell/RNA-Seq/NCMLS_CU/C002UUB2.gene_quantification.cbr_mmseq.20140106.reactome.txt
Cord blood	hematopoietic multipotent progenitor cell	C002UU	Male	hematopoietic multipotent progenitor cell	Cord blood		None	C002UU	RNA-Seq	Transcription quantification (Genes)	TSV	UCAM	6.2M	b84a71da9fb8edb0c106d1dd0509c043	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C002UU/hematopoietic_multipotent_progenitor_cell/RNA-Seq/NCMLS_CU/C002UUB2.gene_quantification.cbr_mmseq.20140106.tsv
Cord blood	hematopoietic multipotent progenitor cell	C002UU	Male	hematopoietic multipotent progenitor cell	Cord blood		None	C002UU	RNA-Seq	Transcription signal	bigWig	CRG	366M	a0794b73cc287b7dcc2db1448bfb50a4	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C002UU/hematopoietic_multipotent_progenitor_cell/RNA-Seq/NCMLS_CU/C002UUB2.RNA-Seq.gem_grape_crg.20140106.bw
Cord blood	hematopoietic multipotent progenitor cell	C002UU	Male	hematopoietic multipotent progenitor cell	Cord blood		None	C002UU	RNA-Seq	Transcription quantification (Transcripts)	GFF	UCAM	5.1M	c482a3a2d76ab046cfd5a4f935d959d2	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C002UU/hematopoietic_multipotent_progenitor_cell/RNA-Seq/NCMLS_CU/C002UUB2.transcript_quantification.cbr_mmseq.20140106.gff.gz
Cord blood	hematopoietic multipotent progenitor cell	C002UU	Male	hematopoietic multipotent progenitor cell	Cord blood		None	C002UU	RNA-Seq	Transcription quantification (Transcripts)	TSV	UCAM	36M	c7d0a9ccd0b7ccf3f0801b76ffeb4b01	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C002UU/hematopoietic_multipotent_progenitor_cell/RNA-Seq/NCMLS_CU/C002UUB2.transcript_quantification.cbr_mmseq.20140106.tsv
Cord blood	hematopoietic stem cell	C002UU	Male	hematopoietic stem cell	Cord blood		None	C002UU	RNA-Seq	Transcription quantification (Genes)	GFF	UCAM	1.8M	da592430d785ccecc596c0d8eeea380f	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C002UU/hematopoietic_stem_cell/RNA-Seq/NCMLS_CU/C002UUB1.gene_quantification.cbr_mmseq.20140106.gff.gz
Cord blood	hematopoietic stem cell	C002UU	Male	hematopoietic stem cell	Cord blood		None	C002UU	RNA-Seq	Transcription quantification (Genes)/Reactome filtered	Text	UCAM/EMBL-EBI	135K	7696c63c3de2daa2153d52575ca4bf8c	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C002UU/hematopoietic_stem_cell/RNA-Seq/NCMLS_CU/C002UUB1.gene_quantification.cbr_mmseq.20140106.reactome.txt
Cord blood	hematopoietic stem cell	C002UU	Male	hematopoietic stem cell	Cord blood		None	C002UU	RNA-Seq	Transcription quantification (Genes)	TSV	UCAM	6.2M	fa1d93ea7a5ea9b32eaafa045a768728	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C002UU/hematopoietic_stem_cell/RNA-Seq/NCMLS_CU/C002UUB1.gene_quantification.cbr_mmseq.20140106.tsv
Cord blood	hematopoietic stem cell	C002UU	Male	hematopoietic stem cell	Cord blood		None	C002UU	RNA-Seq	Transcription signal	bigWig	CRG	339M	275d188cef7952d13aeb5a85c49623e4	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C002UU/hematopoietic_stem_cell/RNA-Seq/NCMLS_CU/C002UUB1.RNA-Seq.gem_grape_crg.20140106.bw
Cord blood	hematopoietic stem cell	C002UU	Male	hematopoietic stem cell	Cord blood		None	C002UU	RNA-Seq	Transcription quantification (Transcripts)	GFF	UCAM	5.1M	8001c51b518a4d6fae6b72a8a7ff21ee	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C002UU/hematopoietic_stem_cell/RNA-Seq/NCMLS_CU/C002UUB1.transcript_quantification.cbr_mmseq.20140106.gff.gz
Cord blood	hematopoietic stem cell	C002UU	Male	hematopoietic stem cell	Cord blood		None	C002UU	RNA-Seq	Transcription quantification (Transcripts)	TSV	UCAM	36M	0f931f3e9ad4e49e4b96b799713acbef	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C002UU/hematopoietic_stem_cell/RNA-Seq/NCMLS_CU/C002UUB1.transcript_quantification.cbr_mmseq.20140106.tsv
Cord blood	CD8-positive, alpha-beta T cell	C002YM	Female	CD8-positive, alpha-beta T cell	Cord blood		None	C002YM	H3K27ac	Enriched regions	bigBed	EMBL-EBI	682K	1f527e5f653d4f61300346b741b36b8f	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C002YM/CD8-positive_alpha-beta_T_cell/ChIP-Seq/NCMLS/C002YMH1.H3K27ac.ppqt_macs2_v2.20130415.bb
Cord blood	CD8-positive, alpha-beta T cell	C002YM	Female	CD8-positive, alpha-beta T cell	Cord blood		None	C002YM	H3K27ac	Enriched regions	BED	EMBL-EBI	634K	c234f8dd340074d633e2e361975c2b0d	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C002YM/CD8-positive_alpha-beta_T_cell/ChIP-Seq/NCMLS/C002YMH1.H3K27ac.ppqt_macs2_v2.20130415.bed.gz
Cord blood	CD8-positive, alpha-beta T cell	C002YM	Female	CD8-positive, alpha-beta T cell	Cord blood		None	C002YM	H3K27ac	Enriched regions	Text	EMBL-EBI	729K	190129bc1712a45403df9fd7331a65c8	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C002YM/CD8-positive_alpha-beta_T_cell/ChIP-Seq/NCMLS/C002YMH1.H3K27ac.ppqt_macs2_v2.20130415.xls.gz
Cord blood	CD8-positive, alpha-beta T cell	C002YM	Female	CD8-positive, alpha-beta T cell	Cord blood		None	C002YM	H3K27ac	Normalized signal	bigWig	EMBL-EBI	1.1G	f0d67b3f702080440a70e81f7da6bde7	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C002YM/CD8-positive_alpha-beta_T_cell/ChIP-Seq/NCMLS/C002YMH1.H3K27ac.wiggler.20130415.bw
Cord blood	CD8-positive, alpha-beta T cell	C002YM	Female	CD8-positive, alpha-beta T cell	Cord blood		None	C002YM	H3K27me3	Enriched regions	bigBed	EMBL-EBI	714K	9b5d6fd50c93984d66df4972cf3bed24	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Cord_blood/C002YM/CD8-positive_alpha-beta_T_cell/ChIP-Seq/NCMLS/C002YMH1.H3K27me3.ppqt_macs2_broad_v2.20130415.bb
